계룡, 36.2743, 127.2489
당진, 36.8946, 126.6297
금산군, 36.1089, 127.4881
부여군, 36.2756, 126.9100
서천군, 36.0719, 126.6917
청양군, 36.4592, 126.8024
홍성군, 36.6012, 126.6609
예산군, 36.6825, 126.8497
태안군, 36.7455, 126.2981
전주, 35.8242, 127.1480
군산, 35.9676, 126.7369
익산, 35.9483, 127.0309
정읍, 35.5697, 126.8560
남원, 35.4164, 127.3906
김제, 35.8035, 126.8807
완주군, 35.9061, 127.1665
진안군, 35.7919, 127.4244
무주군, 36.0073, 127.6609
장수군, 35.6474, 127.5200
임실군, 35.6176, 127.2897
순창군, 35.3744, 127.1376
고창군, 35.4352, 126.7019
부안군, 35.7317, 126.7330
목포, 34.8118, 126.3922
여수, 34.7604, 127.6622
순천, 34.9506, 127.4872
나주, 35.0160, 126.7107
광양, 34.9407, 127.5956
담양군, 35.3215, 126.9881
곡성군, 35.2822, 127.2927
구례군, 35.2029, 127.4634
고흥군, 34.6110, 127.2855
보성군, 34.7713, 127.0802
화순군, 35.0644, 126.9865
장흥군, 34.6814, 126.9066
강진군, 34.6420, 126.7667
해남군, 34.5735, 126.5990
영암군, 34.8006, 126.6967
무안군, 34.9904, 126.4816
함평군, 35.0665, 126.5167
영광군, 35.2775, 126.5118
장성군, 35.3018, 126.7884
완도군, 34.3105, 126.7551
진도군, 34.4868, 126.2633
신안군, 34.8267, 126.1069
포항, 36.0190, 129.3435
경주, 35.8562, 129.2248
김천, 36.1396, 128.1133
안동, 36.5684, 128.7294
구미, 36.1196, 128.3441
영주, 36.8057, 128.6240
영천, 35.9733, 128.9386
상주, 36.4107, 128.1590
문경, 36.5867, 128.1863
경산, 35.8251, 128.7411
군위군, 36.2396, 128.5716
의성군, 36.3526, 128.6970
청송군, 36.4359, 129.0570
영양군, 36.6669, 129.1123
영덕군, 36.4153, 129.3665
청도군, 35.6476, 128.7359
고령군, 35.7273, 128.2631
성주군, 35.9197, 128.2826
칠곡군, 35.9952, 128.4014
예천군, 36.6546, 128.4516
봉화군, 36.8931, 128.7322
울진군, 36.9930, 129.4006
울릉군, 37.4844, 130.9057
창원, 35.2279, 128.6811
진주, 35.1800, 128.1076
통영, 34.8544, 128.4331
사천, 35.0036, 128.0644
김해, 35.2281, 128.8890
밀양, 35.5040, 128.7469
거제, 34.8806, 128.6212
양산, 35.3350, 129.0374
의령군, 35.3223, 128.2618
함안군, 35.2732, 128.4067
창녕군, 35.5444, 128.4923
고성군, 34.9734, 128.3226
남해군, 34.8375, 127.8926
하동군, 35.0675, 127.7514
산청군, 35.4150, 127.8735
함양군, 35.5203, 127.7250
거창군, 35.6869, 127.9094
합천군, 35.5664, 128.1654
제주시, 33.5007, 126.5268
서귀포시, 33.2541, 126.5605
애월, 33.4608, 126.3183
성산, 33.4584, 126.9422
중문, 33.2395, 126.4115
한림, 33.4139, 126.2661
서울역, 37.5547, 126.9706
시청역, 37.5658, 126.9751
종각역, 37.5701, 126.9826
종로3가역, 37.5709, 126.9920
동대문역, 37.5714, 127.0093
신설동역, 37.5755, 127.0251
제기동역, 37.5583, 127.0374
청량리역, 37.5800, 127.0470
동묘앞역, 37.5714, 127.0160
창신역, 37.5633, 127.0177
동대입구역, 37.5584, 127.0096
남영역, 37.5412, 126.9707
용산역, 37.5299, 126.9649
노량진역, 37.5142, 126.9423
대방역, 37.5137, 126.9264
신길역, 37.5170, 126.9136
영등포역, 37.5156, 126.9074
신도림역, 37.5088, 126.8913
구로역, 37.5032, 126.8815
가산디지털단지역, 37.4817, 126.8827
금천구청역, 37.4568, 126.8955
석수역, 37.4358, 126.9229
관악역, 37.4197, 126.9518
안양역, 37.4012, 126.9216
명학역, 37.3843, 126.9392
금정역, 37.3894, 126.9514
군포역, 37.3616, 126.9352
당정역, 37.3428, 126.9333
의왕역, 37.3449, 126.9683
성균관대역, 37.3289, 126.9664
화서역, 37.3067, 126.9645
수원역, 37.2663, 127.0011
시청역, 37.5658, 126.9751
을지로입구역, 37.5663, 126.9824
을지로3가역, 37.5663, 126.9914
동대문역사문화공원역, 37.5658, 127.0076
신당역, 37.5663, 127.0172
상왕십리역, 37.5614, 127.0282
왕십리역, 37.5614, 127.0374
한양대역, 37.5554, 127.0435
뚝섬역, 37.5476, 127.0472
성수역, 37.5448, 127.0557
건대입구역, 37.5402, 127.0695
구의역, 37.5370, 127.0855
강변역, 37.5353, 127.0944
잠실나루역, 37.5205, 127.1005
잠실역, 37.5133, 127.1000
잠실새내역, 37.5113, 127.0864
종합운동장역, 37.5110, 127.0737
삼성역, 37.5088, 127.0632
선릉역, 37.5044, 127.0493
역삼역, 37.5000, 127.0366
강남역, 37.4979, 127.0276
교대역, 37.4934, 127.0142
서초역, 37.4836, 127.0107
방배역, 37.4812, 127.0013
사당역, 37.4766, 126.9816
낙성대역, 37.4772, 126.9628
서울대입구역, 37.4813, 126.9527
봉천역, 37.4817, 126.9429
신림역, 37.4840, 126.9295
신대방역, 37.4885, 126.9134
구로디지털단지역, 37.4854, 126.9017
대림역, 37.4930, 126.8960
신도림역, 37.5088, 126.8913
문래역, 37.5185, 126.8952
영등포구청역, 37.5264, 126.8962
당산역, 37.5342, 126.9023
합정역, 37.5493, 126.9134
홍대입구역, 37.5572, 126.9240
신촌역, 37.5596, 126.9370
이대역, 37.5564, 126.9459
아현역, 37.5578, 126.9560
충정로역, 37.5597, 126.9632
대화역, 37.6586, 126.7664
주엽역, 37.6439, 126.7709
정발산역, 37.6365, 126.7732
마두역, 37.6290, 126.7747
백석역, 37.6180, 126.7849
대곡역, 37.6113, 126.7718
화정역, 37.6002, 126.7641
원당역, 37.5926, 126.7596
원흥역, 37.5859, 126.7543
삼송역, 37.5795, 126.7464
지축역, 37.5664, 126.7442
구파발역, 37.5567, 126.7319
연신내역, 37.5615, 126.7213
불광역, 37.6103, 126.9290
녹번역, 37.6103, 126.9364
홍제역, 37.6021, 126.9421
무악재역, 37.5955, 126.9541
독립문역, 37.5957, 126.9565
경복궁역, 37.5796, 126.9770
안국역, 37.5763, 126.9858
종로3가역, 37.5709, 126.9920
을지로3가역, 37.5663, 126.9914
충무로역, 37.5614, 126.9943
동대입구역, 37.5584, 127.0096
약수역, 37.5543, 127.0186
금고역, 37.5487, 127.0273
옥수역, 37.5408, 127.0180
압구정역, 37.5274, 127.0280
신사역, 37.5162, 127.0202
잠원역, 37.5206, 127.0112
고속터미널역, 37.5048, 127.0047
교대역, 37.4934, 127.0142
남부터미널역, 37.4763, 126.9967
양재역, 37.4674, 127.0348
매봉역, 37.4604, 127.0439
도곡역, 37.4694, 127.0517
대치역, 37.4942, 127.0625
학여울역, 37.5142, 127.0638
대청역, 37.5251, 127.0668
일원역, 37.5266, 127.0773
수서역, 37.4871, 127.1008
가락시장역, 37.4925, 127.1182
경찰병원역, 37.4944, 127.1274
오금역, 37.5029, 127.1281
당고개역, 37.6701, 127.0131
상계역, 37.6540, 127.0730
노원역, 37.6543, 127.0568
창동역, 37.6532, 127.0469
쌍문역, 37.6507, 127.0316
수유역, 37.6378, 127.0252
미아역, 37.6271, 127.0297
미아사거리역, 37.6130, 127.0306
길음역, 37.6010, 127.0251
성신여대입구역, 37.5928, 127.0165
